Editorial,Genero,Plataforma,Nombre,Plataforma,Región,Venta Millones
3DO,Action,PS,"Army Men World War: Land, Sea, Air",PS,Japón,$0
3DO,Action,PS,"Army Men World War: Land, Sea, Air",PS,Norte América,"$0,17"
3DO,Action,PS,"Army Men World War: Land, Sea, Air",PS,Otros,"$0,02"
3DO,Action,PS,Army Men World War: Team Assault,PS,Europa,"$0,04"
3DO,Action,PS,Army Men World War: Team Assault,PS,Japón,$0
3DO,Action,PS,Army Men World War: Team Assault,PS,Norte América,"$0,06"
3DO,Action,PS,Army Men World War: Team Assault,PS,Otros,"$0,01"
3DO,Action,PS,Army Men: Air Attack,PS,Europa,"$0,32"
3DO,Action,PS,Army Men: Air Attack,PS,Japón,$0
3DO,Action,PS,Army Men: Air Attack,PS,Norte América,"$0,47"
3DO,Action,PS,Army Men: Air Attack,PS,Otros,"$0,06"
3DO,Action,PS,Army Men: Air Attack 2,PS,Europa,"$0,11"
3DO,Action,PS,Army Men: Air Attack 2,PS,Japón,$0
3DO,Action,PS,Army Men: Air Attack 2,PS,Norte América,"$0,17"
3DO,Action,PS,Army Men: Air Attack 2,PS,Otros,"$0,02"
3DO,Action,N64,Army Men: Air Combat,N64,Europa,"$0,05"
3DO,Action,N64,Army Men: Air Combat,N64,Japón,$0
3DO,Action,N64,Army Men: Air Combat,N64,Norte América,"$0,19"
3DO,Action,N64,Army Men: Air Combat,N64,Otros,$0
3DO,Action,PS,Army Men: Green Rogue,PS,Europa,"$0,02"
3DO,Action,PS,Army Men: Green Rogue,PS,Japón,$0
3DO,Action,PS,Army Men: Green Rogue,PS,Norte América,"$0,04"
3DO,Action,PS,Army Men: Green Rogue,PS,Otros,$0
3DO,Action,PS2,Army Men: Green Rogue,PS2,Europa,"$0,05"
3DO,Action,PS2,Army Men: Green Rogue,PS2,Japón,$0
3DO,Action,PS2,Army Men: Green Rogue,PS2,Norte América,"$0,06"
3DO,Action,PS2,Army Men: Green Rogue,PS2,Otros,"$0,02"
3DO,Action,N64,Army Men: Sarge's Heroes,N64,Europa,"$0,12"
3DO,Action,N64,Army Men: Sarge's Heroes,N64,Japón,$0
3DO,Action,N64,Army Men: Sarge's Heroes,N64,Norte América,"$0,68"
3DO,Action,N64,Army Men: Sarge's Heroes,N64,Otros,"$0,01"
3DO,Action,PS,Army Men: Sarge's Heroes,PS,Europa,"$0,21"
3DO,Action,PS,Army Men: Sarge's Heroes,PS,Japón,$0
3DO,Action,PS,Army Men: Sarge's Heroes,PS,Norte América,"$0,31"
3DO,Action,PS,Army Men: Sarge's Heroes,PS,Otros,"$0,04"
3DO,Action,N64,BattleTanx,N64,Europa,"$0,06"
3DO,Action,N64,BattleTanx,N64,Japón,$0
3DO,Action,N64,BattleTanx,N64,Norte América,"$0,26"
3DO,Action,N64,BattleTanx,N64,Otros,$0
3DO,Action,N64,BattleTanx: Global Assault,N64,Europa,"$0,07"
3DO,Action,N64,BattleTanx: Global Assault,N64,Japón,$0
3DO,Action,N64,BattleTanx: Global Assault,N64,Norte América,"$0,31"
3DO,Action,N64,BattleTanx: Global Assault,N64,Otros,$0
3DO,Action,PS2,Godai: Elemental Force,PS2,Europa,"$0,03"
3DO,Action,PS2,Godai: Elemental Force,PS2,Japón,$0
3DO,Action,PS2,Godai: Elemental Force,PS2,Norte América,"$0,04"
3DO,Action,PS2,Godai: Elemental Force,PS2,Otros,"$0,01"
3DO,Action,PS,Uprising X,PS,Europa,"$0,03"
3DO,Action,PS,Uprising X,PS,Japón,$0
3DO,Action,PS,Uprising X,PS,Norte América,"$0,04"
3DO,Action,PS,Uprising X,PS,Otros,$0
3DO,Action,PS,World Destruction League: Thunder Tanks,PS,Europa,"$0,06"
3DO,Action,PS,World Destruction League: Thunder Tanks,PS,Japón,$0
3DO,Action,PS,World Destruction League: Thunder Tanks,PS,Norte América,"$0,09"
3DO,Action,PS,World Destruction League: Thunder Tanks,PS,Otros,"$0,01"
3DO,Action,PS2,World Destruction League: Thunder Tanks,PS2,Europa,"$0,07"
3DO,Action,PS2,World Destruction League: Thunder Tanks,PS2,Japón,$0
3DO,Action,PS2,World Destruction League: Thunder Tanks,PS2,Norte América,"$0,08"
3DO,Action,PS2,World Destruction League: Thunder Tanks,PS2,Otros,"$0,02"
3DO,Adventure,PS2,Shifters,PS2,Europa,"$0,02"
3DO,Adventure,PS2,Shifters,PS2,Japón,$0
3DO,Adventure,PS2,Shifters,PS2,Norte América,"$0,03"
3DO,Adventure,PS2,Shifters,PS2,Otros,"$0,01"
3DO,Adventure,PS,Warriors of Might and Magic,PS,Europa,"$0,05"
3DO,Adventure,PS,Warriors of Might and Magic,PS,Japón,$0
3DO,Adventure,PS,Warriors of Might and Magic,PS,Norte América,"$0,07"
3DO,Adventure,PS,Warriors of Might and Magic,PS,Otros,"$0,01"
3DO,Adventure,PS2,Warriors of Might and Magic,PS2,Europa,"$0,07"
3DO,Adventure,PS2,Warriors of Might and Magic,PS2,Japón,$0
3DO,Adventure,PS2,Warriors of Might and Magic,PS2,Norte América,"$0,09"
3DO,Adventure,PS2,Warriors of Might and Magic,PS2,Otros,"$0,02"
3DO,Fighting,PS,Contender 2,PS,Europa,"$0,21"
3DO,Fighting,PS,Contender 2,PS,Japón,$0
3DO,Fighting,PS,Contender 2,PS,Norte América,"$0,31"
3DO,Fighting,PS,Contender 2,PS,Otros,"$0,04"
3DO,Platform,PS2,Portal Runner,PS2,Europa,"$0,05"
3DO,Platform,PS2,Portal Runner,PS2,Japón,$0
3DO,Platform,PS2,Portal Runner,PS2,Norte América,"$0,06"
3DO,Platform,PS2,Portal Runner,PS2,Otros,"$0,02"
3DO,Puzzle,PS2,Aqua Aqua,PS2,Europa,"$0,04"
3DO,Puzzle,PS2,Aqua Aqua,PS2,Japón,$0
3DO,Puzzle,PS2,Aqua Aqua,PS2,Norte América,"$0,05"
3DO,Puzzle,PS2,Aqua Aqua,PS2,Otros,"$0,01"
3DO,Role-Playing,PS,Crusaders of Might and Magic,PS,Europa,"$0,1"
3DO,Role-Playing,PS,Crusaders of Might and Magic,PS,Japón,$0
3DO,Role-Playing,PS,Crusaders of Might and Magic,PS,Norte América,"$0,14"
3DO,Role-Playing,PS,Crusaders of Might and Magic,PS,Otros,"$0,02"
3DO,Shooter,GC,Army Men: Air Combat - The Elite Missions,GC,Europa,$0
3DO,Shooter,GC,Army Men: Air Combat - The Elite Missions,GC,Japón,$0
3DO,Shooter,GC,Army Men: Air Combat - The Elite Missions,GC,Norte América,"$0,01"
3DO,Shooter,GC,Army Men: Air Combat - The Elite Missions,GC,Otros,$0
3DO,Shooter,N64,Army Men: Sarge's Heroes 2,N64,Europa,"$0,07"
3DO,Shooter,N64,Army Men: Sarge's Heroes 2,N64,Japón,$0
3DO,Shooter,N64,Army Men: Sarge's Heroes 2,N64,Norte América,"$0,34"
3DO,Shooter,N64,Army Men: Sarge's Heroes 2,N64,Otros,$0
3DO,Shooter,PS,Army Men: Sarge's Heroes 2,PS,Europa,"$0,09"
3DO,Shooter,PS,Army Men: Sarge's Heroes 2,PS,Japón,$0
3DO,Shooter,PS,Army Men: Sarge's Heroes 2,PS,Norte América,"$0,14"
3DO,Shooter,PS,Army Men: Sarge's Heroes 2,PS,Otros,"$0,02"
3DO,Shooter,PS2,Dragon Rage,PS2,Europa,"$0,02"
3DO,Shooter,PS2,Dragon Rage,PS2,Japón,$0
3DO,Shooter,PS2,Dragon Rage,PS2,Norte América,"$0,03"
3DO,Shooter,PS2,Dragon Rage,PS2,Otros,"$0,01"
3DO,Shooter,PS2,WarJetz,PS2,Europa,"$0,02"
3DO,Shooter,PS2,WarJetz,PS2,Japón,$0
3DO,Shooter,PS2,WarJetz,PS2,Norte América,"$0,02"
3DO,Shooter,PS2,WarJetz,PS2,Otros,"$0,01"
3DO,Sports,PS,High Heat Baseball 2002,PS,Europa,"$0,02"
3DO,Sports,PS,High Heat Baseball 2002,PS,Japón,$0
3DO,Sports,PS,High Heat Baseball 2002,PS,Norte América,"$0,02"
3DO,Sports,PS,High Heat Baseball 2002,PS,Otros,$0
3DO,Sports,PS2,High Heat Major League Baseball 2003,PS2,Europa,"$0,14"
3DO,Sports,PS2,High Heat Major League Baseball 2003,PS2,Japón,$0
3DO,Sports,PS2,High Heat Major League Baseball 2003,PS2,Norte América,"$0,18"
3DO,Sports,PS2,High Heat Major League Baseball 2003,PS2,Otros,"$0,05"
3DO,Sports,PS2,High Heat Major League Baseball 2004,PS2,Europa,"$0,14"
3DO,Sports,PS2,High Heat Major League Baseball 2004,PS2,Japón,$0
3DO,Sports,PS2,High Heat Major League Baseball 2004,PS2,Norte América,"$0,18"
3DO,Sports,PS2,High Heat Major League Baseball 2004,PS2,Otros,"$0,05"
3DO,Sports,XB,High Heat Major League Baseball 2004,XB,Europa,"$0,02"
3DO,Sports,XB,High Heat Major League Baseball 2004,XB,Japón,$0
3DO,Sports,XB,High Heat Major League Baseball 2004,XB,Norte América,"$0,06"
3DO,Sports,XB,High Heat Major League Baseball 2004,XB,Otros,$0
3DO,Sports,PS2,Jonny Moseley Mad Trix,PS2,Europa,"$0,05"
3DO,Sports,PS2,Jonny Moseley Mad Trix,PS2,Japón,$0
3DO,Sports,PS2,Jonny Moseley Mad Trix,PS2,Norte América,"$0,07"
3DO,Sports,PS2,Jonny Moseley Mad Trix,PS2,Otros,"$0,02"
3DO,Sports,PS,Sammy Sosa High Heat Baseball 2001,PS,Europa,"$0,22"
3DO,Sports,PS,Sammy Sosa High Heat Baseball 2001,PS,Japón,$0
3DO,Sports,PS,Sammy Sosa High Heat Baseball 2001,PS,Norte América,"$0,32"
3DO,Sports,PS,Sammy Sosa High Heat Baseball 2001,PS,Otros,"$0,04"
3DO,Strategy,PS2,Army Men: RTS,PS2,Europa,"$0,04"
3DO,Strategy,PS2,Army Men: RTS,PS2,Japón,$0
3DO,Strategy,PS2,Army Men: RTS,PS2,Norte América,"$0,05"
3DO,Strategy,PS2,Army Men: RTS,PS2,Otros,"$0,01"
49Games,Sports,X360,Summer Athletics 2009,X360,Europa,"$0,04"
49Games,Sports,X360,Summer Athletics 2009,X360,Japón,$0
49Games,Sports,X360,Summer Athletics 2009,X360,Norte América,$0
49Games,Sports,X360,Summer Athletics 2009,X360,Otros,$0
505 Games,Action,DS,Cats & Dogs: The Revenge of Kitty Galore,DS,Europa,$0
505 Games,Action,DS,Cats & Dogs: The Revenge of Kitty Galore,DS,Japón,$0
505 Games,Action,DS,Cats & Dogs: The Revenge of Kitty Galore,DS,Norte América,"$0,1"
505 Games,Action,DS,Cats & Dogs: The Revenge of Kitty Galore,DS,Otros,"$0,01"
505 Games,Action,DS,Deep Labyrinth,DS,Europa,$0
505 Games,Action,DS,Deep Labyrinth,DS,Japón,$0
505 Games,Action,DS,Deep Labyrinth,DS,Norte América,"$0,06"
505 Games,Action,DS,Deep Labyrinth,DS,Otros,$0
505 Games,Action,3DS,Naruto Shippuden 3D: The New Era,3DS,Europa,"$0,04"
505 Games,Action,3DS,Naruto Shippuden 3D: The New Era,3DS,Japón,"$0,06"
505 Games,Action,3DS,Naruto Shippuden 3D: The New Era,3DS,Norte América,$0
505 Games,Action,3DS,Naruto Shippuden 3D: The New Era,3DS,Otros,"$0,01"
505 Games,Action,Wii,Naruto Shippuden: Dragon Blade Chronicles,Wii,Europa,"$0,02"
505 Games,Action,Wii,Naruto Shippuden: Dragon Blade Chronicles,Wii,Japón,"$0,05"
505 Games,Action,Wii,Naruto Shippuden: Dragon Blade Chronicles,Wii,Norte América,"$0,11"
505 Games,Action,Wii,Naruto Shippuden: Dragon Blade Chronicles,Wii,Otros,"$0,01"
505 Games,Action,PS3,Naughty Bear,PS3,Europa,"$0,18"
505 Games,Action,PS3,Naughty Bear,PS3,Japón,$0
505 Games,Action,PS3,Naughty Bear,PS3,Norte América,"$0,18"
505 Games,Action,PS3,Naughty Bear,PS3,Otros,"$0,07"
505 Games,Action,X360,Naughty Bear,X360,Europa,"$0,16"
505 Games,Action,X360,Naughty Bear,X360,Japón,$0
505 Games,Action,X360,Naughty Bear,X360,Norte América,"$0,21"
505 Games,Action,X360,Naughty Bear,X360,Otros,"$0,04"
505 Games,Action,PS2,Raw Danger!,PS2,Europa,"$0,01"
505 Games,Action,PS2,Raw Danger!,PS2,Japón,$0
505 Games,Action,PS2,Raw Danger!,PS2,Norte América,"$0,02"
505 Games,Action,PS2,Raw Danger!,PS2,Otros,$0
505 Games,Action,PS2,Raw Danger! (JP sales),PS2,Europa,$0
505 Games,Action,PS2,Raw Danger! (JP sales),PS2,Japón,"$0,06"
505 Games,Action,PS2,Raw Danger! (JP sales),PS2,Norte América,$0
505 Games,Action,PS2,Raw Danger! (JP sales),PS2,Otros,$0
505 Games,Action,PS2,Rule of Rose,PS2,Europa,"$0,01"
505 Games,Action,PS2,Rule of Rose,PS2,Japón,$0
505 Games,Action,PS2,Rule of Rose,PS2,Norte América,"$0,01"
505 Games,Action,PS2,Rule of Rose,PS2,Otros,$0
505 Games,Action,PS2,Samurai Western,PS2,Europa,"$0,03"
505 Games,Action,PS2,Samurai Western,PS2,Japón,$0
505 Games,Action,PS2,Samurai Western,PS2,Norte América,"$0,04"
505 Games,Action,PS2,Samurai Western,PS2,Otros,"$0,01"
505 Games,Action,Wii,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,Europa,$0
505 Games,Action,Wii,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,Japón,"$0,07"
505 Games,Action,Wii,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,Norte América,$0
505 Games,Action,Wii,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,Otros,$0
505 Games,Action,3DS,Terraria,3DS,Europa,"$0,03"
505 Games,Action,3DS,Terraria,3DS,Japón,"$0,04"
505 Games,Action,3DS,Terraria,3DS,Norte América,$0
505 Games,Action,3DS,Terraria,3DS,Otros,$0
505 Games,Action,PS3,Terraria,PS3,Europa,"$0,26"
505 Games,Action,PS3,Terraria,PS3,Japón,"$0,09"
505 Games,Action,PS3,Terraria,PS3,Norte América,"$0,07"
505 Games,Action,PS3,Terraria,PS3,Otros,"$0,07"
505 Games,Action,PS4,Terraria,PS4,Europa,"$0,05"
505 Games,Action,PS4,Terraria,PS4,Japón,"$0,01"
505 Games,Action,PS4,Terraria,PS4,Norte América,$0
505 Games,Action,PS4,Terraria,PS4,Otros,"$0,01"
505 Games,Action,WiiU,Terraria,WiiU,Europa,"$0,02"
505 Games,Action,WiiU,Terraria,WiiU,Japón,$0
505 Games,Action,WiiU,Terraria,WiiU,Norte América,$0
505 Games,Action,WiiU,Terraria,WiiU,Otros,$0
505 Games,Action,X360,Terraria,X360,Europa,"$0,31"
505 Games,Action,X360,Terraria,X360,Japón,$0
505 Games,Action,X360,Terraria,X360,Norte América,"$0,35"
505 Games,Action,X360,Terraria,X360,Otros,"$0,06"
505 Games,Action,XOne,Terraria,XOne,Europa,"$0,04"
505 Games,Action,XOne,Terraria,XOne,Japón,$0
505 Games,Action,XOne,Terraria,XOne,Norte América,$0
505 Games,Action,XOne,Terraria,XOne,Otros,$0
505 Games,Action,Wii,The Destiny of Zorro,Wii,Europa,$0
505 Games,Action,Wii,The Destiny of Zorro,Wii,Japón,$0
505 Games,Action,Wii,The Destiny of Zorro,Wii,Norte América,"$0,1"
505 Games,Action,Wii,The Destiny of Zorro,Wii,Otros,"$0,01"
505 Games,Action,PS3,Top Gun: Hard Lock,PS3,Europa,"$0,03"
505 Games,Action,PS3,Top Gun: Hard Lock,PS3,Japón,$0
505 Games,Action,PS3,Top Gun: Hard Lock,PS3,Norte América,$0
505 Games,Action,PS3,Top Gun: Hard Lock,PS3,Otros,"$0,01"
505 Games,Action,X360,Top Gun: Hard Lock,X360,Europa,"$0,02"
505 Games,Action,X360,Top Gun: Hard Lock,X360,Japón,$0
505 Games,Action,X360,Top Gun: Hard Lock,X360,Norte América,"$0,03"
505 Games,Action,X360,Top Gun: Hard Lock,X360,Otros,$0
505 Games,Action,DS,Turn It Around,DS,Europa,$0
505 Games,Action,DS,Turn It Around,DS,Japón,$0
505 Games,Action,DS,Turn It Around,DS,Norte América,"$0,03"
505 Games,Action,DS,Turn It Around,DS,Otros,$0
505 Games,Adventure,PS4,Brothers: A Tale of Two Sons,PS4,Europa,"$0,08"
505 Games,Adventure,PS4,Brothers: A Tale of Two Sons,PS4,Japón,$0
505 Games,Adventure,PS4,Brothers: A Tale of Two Sons,PS4,Norte América,"$0,03"
505 Games,Adventure,PS4,Brothers: A Tale of Two Sons,PS4,Otros,"$0,02"
505 Games,Adventure,XOne,Brothers: A Tale of Two Sons,XOne,Europa,"$0,01"
505 Games,Adventure,XOne,Brothers: A Tale of Two Sons,XOne,Japón,$0
505 Games,Adventure,XOne,Brothers: A Tale of Two Sons,XOne,Norte América,"$0,03"
505 Games,Adventure,XOne,Brothers: A Tale of Two Sons,XOne,Otros,$0
505 Games,Adventure,PS2,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,Europa,$0
505 Games,Adventure,PS2,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,Japón,"$0,05"
505 Games,Adventure,PS2,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,Norte América,$0
505 Games,Adventure,PS2,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,Otros,$0
505 Games,Adventure,PS2,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Europa,"$0,02"
505 Games,Adventure,PS2,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Japón,"$0,25"
505 Games,Adventure,PS2,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Norte América,"$0,02"
505 Games,Adventure,PS2,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Otros,"$0,01"
505 Games,Adventure,DS,Touch Detective,DS,Europa,"$0,03"
505 Games,Adventure,DS,Touch Detective,DS,Japón,$0
505 Games,Adventure,DS,Touch Detective,DS,Norte América,"$0,06"
505 Games,Adventure,DS,Touch Detective,DS,Otros,"$0,01"
505 Games,Adventure,DS,Touch Detective (JP sales),DS,Europa,$0
505 Games,Adventure,DS,Touch Detective (JP sales),DS,Japón,"$0,02"
505 Games,Adventure,DS,Touch Detective (JP sales),DS,Norte América,$0
505 Games,Adventure,DS,Touch Detective (JP sales),DS,Otros,$0
505 Games,Adventure,DS,Touch Detective 2 1/2,DS,Europa,$0
505 Games,Adventure,DS,Touch Detective 2 1/2,DS,Japón,"$0,01"
505 Games,Adventure,DS,Touch Detective 2 1/2,DS,Norte América,"$0,09"
505 Games,Adventure,DS,Touch Detective 2 1/2,DS,Otros,"$0,01"
505 Games,Fighting,PS3,Battle Fantasia,PS3,Europa,$0
505 Games,Fighting,PS3,Battle Fantasia,PS3,Japón,"$0,01"
505 Games,Fighting,PS3,Battle Fantasia,PS3,Norte América,$0
505 Games,Fighting,PS3,Battle Fantasia,PS3,Otros,$0
505 Games,Fighting,X360,Battle Fantasia,X360,Europa,$0
505 Games,Fighting,X360,Battle Fantasia,X360,Japón,"$0,01"
505 Games,Fighting,X360,Battle Fantasia,X360,Norte América,"$0,07"
505 Games,Fighting,X360,Battle Fantasia,X360,Otros,"$0,01"
505 Games,Fighting,PS2,Bujingai: The Forsaken City,PS2,Europa,"$0,04"
505 Games,Fighting,PS2,Bujingai: The Forsaken City,PS2,Japón,$0
505 Games,Fighting,PS2,Bujingai: The Forsaken City,PS2,Norte América,"$0,05"
505 Games,Fighting,PS2,Bujingai: The Forsaken City,PS2,Otros,"$0,01"
505 Games,Fighting,DS,Draglade,DS,Europa,$0
505 Games,Fighting,DS,Draglade,DS,Japón,$0
505 Games,Fighting,DS,Draglade,DS,Norte América,"$0,09"
505 Games,Fighting,DS,Draglade,DS,Otros,"$0,01"
505 Games,Fighting,DS,Draglade (JP sales),DS,Europa,$0
505 Games,Fighting,DS,Draglade (JP sales),DS,Japón,"$0,04"
505 Games,Fighting,DS,Draglade (JP sales),DS,Norte América,$0
505 Games,Fighting,DS,Draglade (JP sales),DS,Otros,$0
505 Games,Fighting,PS2,Guilty Gear Isuka,PS2,Europa,"$0,04"
505 Games,Fighting,PS2,Guilty Gear Isuka,PS2,Japón,$0
505 Games,Fighting,PS2,Guilty Gear Isuka,PS2,Norte América,"$0,05"
505 Games,Fighting,PS2,Guilty Gear Isuka,PS2,Otros,"$0,01"
505 Games,Fighting,Wii,Guilty Gear XX Accent Core,Wii,Europa,$0
505 Games,Fighting,Wii,Guilty Gear XX Accent Core,Wii,Japón,$0
505 Games,Fighting,Wii,Guilty Gear XX Accent Core,Wii,Norte América,"$0,03"
505 Games,Fighting,Wii,Guilty Gear XX Accent Core,Wii,Otros,$0
505 Games,Fighting,X360,Hulk Hogan's Main Event,X360,Europa,"$0,02"
505 Games,Fighting,X360,Hulk Hogan's Main Event,X360,Japón,$0
505 Games,Fighting,X360,Hulk Hogan's Main Event,X360,Norte América,"$0,1"
505 Games,Fighting,X360,Hulk Hogan's Main Event,X360,Otros,"$0,01"
505 Games,Fighting,PS3,Supremacy MMA,PS3,Europa,"$0,04"
505 Games,Fighting,PS3,Supremacy MMA,PS3,Japón,$0
505 Games,Fighting,PS3,Supremacy MMA,PS3,Norte América,"$0,06"
505 Games,Fighting,PS3,Supremacy MMA,PS3,Otros,"$0,02"
505 Games,Fighting,PSV,Supremacy MMA,PSV,Europa,"$0,05"
505 Games,Fighting,PSV,Supremacy MMA,PSV,Japón,$0
505 Games,Fighting,PSV,Supremacy MMA,PSV,Norte América,"$0,02"
505 Games,Fighting,PSV,Supremacy MMA,PSV,Otros,"$0,02"
505 Games,Fighting,X360,Supremacy MMA,X360,Europa,"$0,03"
505 Games,Fighting,X360,Supremacy MMA,X360,Japón,$0
505 Games,Fighting,X360,Supremacy MMA,X360,Norte América,"$0,05"
505 Games,Fighting,X360,Supremacy MMA,X360,Otros,"$0,01"
505 Games,Misc,DS,Alvin and the Chipmunks: Chipwrecked,DS,Europa,"$0,03"
505 Games,Misc,DS,Alvin and the Chipmunks: Chipwrecked,DS,Japón,$0
505 Games,Misc,DS,Alvin and the Chipmunks: Chipwrecked,DS,Norte América,"$0,07"
505 Games,Misc,DS,Alvin and the Chipmunks: Chipwrecked,DS,Otros,"$0,01"
505 Games,Misc,Wii,Alvin and the Chipmunks: Chipwrecked,Wii,Europa,"$0,01"
505 Games,Misc,Wii,Alvin and the Chipmunks: Chipwrecked,Wii,Japón,$0
505 Games,Misc,Wii,Alvin and the Chipmunks: Chipwrecked,Wii,Norte América,"$0,08"
505 Games,Misc,Wii,Alvin and the Chipmunks: Chipwrecked,Wii,Otros,"$0,01"
505 Games,Misc,X360,Alvin and the Chipmunks: Chipwrecked,X360,Europa,"$0,01"
505 Games,Misc,X360,Alvin and the Chipmunks: Chipwrecked,X360,Japón,$0
505 Games,Misc,X360,Alvin and the Chipmunks: Chipwrecked,X360,Norte América,"$0,08"
505 Games,Misc,X360,Alvin and the Chipmunks: Chipwrecked,X360,Otros,"$0,01"
505 Games,Misc,DS,Classic Action: Devilish,DS,Europa,$0
505 Games,Misc,DS,Classic Action: Devilish,DS,Japón,$0
505 Games,Misc,DS,Classic Action: Devilish,DS,Norte América,"$0,06"
505 Games,Misc,DS,Classic Action: Devilish,DS,Otros,$0
505 Games,Misc,DS,Discovery Kids: Spider Quest,DS,Europa,$0
